Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3
4,44,44,20,conflict reading,formal trial,reading,+,kitchen,Stars,are not,spread,uniformly,across,"the universe,",but are,normally,grouped,into,galaxies,along with,interstellar,gas and,dust.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,10,10,,pure reading ,formal trial,reading,+,xxxx,Clock,is,one of,the oldest,human,"inventions,",meeting,the need,to,measure,intervals,of time,shorter,than,a day.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,35,35,11,conflict reading,formal trial,reading,+,instrument,Lips,are very,sensitive,"to touch,","warmth,","and cold,",they are,therefore,an important,aid for,exploring,unknown,objects,for,babies.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,15,15,,pure reading ,formal trial,reading,+,xxxxx,Cotton,farmers in,developing,countries,accept,a low,price,for their,"produce,",otherwise,it is,difficult to,compete with,developed,countries.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,39,39,15,conflict reading,formal trial,reading,+,dress,"In antiquity,",Indian,flags,were often,triangular,shaped,and,decorated,with,attachments,such as,yak's tail,and,the state,umbrella.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,23,23,,pure reading ,catch trial,reading,+,xxxxxxx,During,the 17th,"Century,",pipe,smoking,became a,new trend,among,the Dutch,"youth,",specifically,upper and,middle,class,students.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,16,16,,pure reading ,formal trial,reading,+,xxxxx,During the,heat of,"the day,",mosquitoes,rest in,a cool,place,and,wait,till,evening,to,hunt,for,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,42,42,18,conflict reading,formal trial,reading,+,toast,Coloured,pencils are,sometimes,used by,teachers,or editors,to correct,submitted,"texts,",but,are,typically,regarded as,art,supplies.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,26,26,1,conflict reading,formal trial,reading,+,door,Brain,tissue,consumes,a large,amount of,energy in,proportion to,"its volume,",so large,brains,place,severe,metabolic,demands on,animals.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,48,48,24,conflict reading,catch trial,reading,+,paper,Dollar,is the,currency,name for,more,than,twenty,"countries,",while,the U.S.,dollar is,the world's,primary,reserve,currency.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,41,41,17,conflict reading,formal trial,reading,+,sunset,One of,the biggest,threats to,elephant,populations,is,illegal,ivory,"trade,",as,they,are,poached,for their,tusks.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,11,11,,pure reading ,formal trial,reading,+,xxxxxxxxxx,String,could,be a,component,in other,"tools,",and in,devices,as,diverse,as,"weapons,",musical,"instruments,",and toys.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,32,32,8,conflict reading,formal trial,reading,+,restaurant,Salt is,a naturally,occurring,constituent,in foods,such as,meats,and,"vegetables,",it is,present,in,very,small,quantities.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
